	ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment	Condition
GO:0051336...80	GO:0051336	regulation of hydrolase activity	384	0.312749606871345	1.45194998775762	0.0004324173234896	0.0215868525291288	0.0187043553978265	1147	tags=25%, list=17%, signal=22%	SERPINB6/SERPINB8/TFPI/FGD2/AHSG/IFI16/ANXA2/SMAD3/NAIP/SPINT2/CD86/HSF1/ASPH/PSMB9/PLCB2/IQGAP2/SORT1/ADPRH/CAST/RPS6KA3/TIMP1/CD109/RFFL/RHBDF2/PRNP/TBC1D15/RIPK3/RHOC/RGS14/AIP/MICAL1/S100A8/MAPRE2/TBC1D4/KLRK1/IKBKB/CASP10/JAK2/PREX1/SPINT1/CORO1C/CSTA/PTK2/S100A10/CST3/CASP1/GMIP/C9orf72/GSK3B/GPX1/GAS6/ARHGAP25/TRIAP1/CFLAR/FGD4/SFN/CASP8/APOC3/LGALS3/PLXNB2/ARRB2/CARD16/CDKL5/SCARB2/TBC1D9B/RABGAP1/PSME1/EFNA5/BCL10/CASP9/PPP1R9B/EGLN1/RAP1GDS1/TBC1D17/BCL2L13/LAMTOR5/TMBIM6/AKT2/ARL6IP1/AKT1/CRK/PYCARD/TBC1D5/PTK2B/CAMK2D/RAP1GAP2/FADD/SRGAP2/ARL6IP5/S100A9/TBC1D13/TBC1D10A/ADAP1/PDPK1/CYFIP2/PSMB8	Tram_vs_control
GO:0006066...81	GO:0006066	alcohol metabolic process	133	0.406347942265145	1.6820545294672	0.00044747881213891	0.0220535236797349	0.0191087118478032	1184	tags=34%, list=18%, signal=28%	ALDH2/CYP27A1/ALDH3B1/ITPK1/DHRS4/PTEN/ACSS1/CBR4/AKR1B1/NAAA/AKR7A2/DHRS9/LSS/FDXR/TKFC/IDH1/PCK2/TPK1/NFKB1/APOBR/INPP5B/HMGCR/GPD2/ALDH1B1/PMVK/PCBD2/THTPA/FDX1/SOAT1/DPM1/G6PD/ACSS2/RDH11/MSMO1/PLA2G4A/IDH3B/PTK2B/PLCG2/MVK/IDH3G/CES1/IDH2/CYP1B1/LIMA1/HMGCS1	Tram_vs_control
GO:0051054	GO:0051054	positive regulation of DNA metabolic process	191	-0.390142432731299	-1.61793896616223	0.000468369913301317	0.0228016182182787	0.0197569131592827	1271	tags=30%, list=19%, signal=25%	FAF1/EXOSC6/ING3/CCT3/POT1/PRKDC/PARP1/AURKB/MAP3K4/MRNIP/PRIM2/CCT4/BABAM1/CCT2/FUS/HSP90AA1/TCP1/DHX9/MYC/GINS4/CCT6A/ATF1/TP53BP1/DKC1/MECP2/MORF4L2/SETMAR/HNRNPAB/CCT7/MCRS1/SIRT6/ACTB/TERF1/BAZ1A/GINS1/TFRC/GINS3/MEAF6/GINS2/XRCC1/PIAS4/RGCC/XRCC5/PCNA/RPS3/MAP2K7/PNKP/HSP90AB1/HDGFL2/HNRNPA2B1/KMT5B/NSD2/HNRNPD/HNRNPA1/TGFB1/TRIM28/SMARCD1/WT1	Tram_vs_control
GO:0071398...83	GO:0071398	cellular response to fatty acid	10	-0.838144115563088	-1.92609357360433	0.000493949437756567	0.0234743589943359	0.0203398227126326	456	tags=70%, list=7%, signal=65%	ASS1/AKR1C2/XRCC5/LDLR/AKR1C3/CPT1A/SMARCD1	Tram_vs_control
GO:0030490...84	GO:0030490	maturation of SSU-rRNA	52	-0.547415566261045	-1.81798465018291	0.000488414457340817	0.0234743589943359	0.0203398227126326	1954	tags=67%, list=30%, signal=48%	NOL10/NOB1/RIOK1/RIOK2/ERCC2/UTP3/BMS1/HEATR1/MPHOSPH10/NOP14/FCF1/RRP36/TBL3/UTP6/IMP3/SRFBP1/UTP20/BYSL/RCL1/RPP40/TSR1/PWP2/DDX52/RPS8/UTP4/NGDN/DCAF13/WDR3/RPS28/NAT10/NOL11/RPS14/WDR46/WDR43/SNU13	Tram_vs_control
GO:0050890	GO:0050890	cognition	82	0.46376975498283	1.77102009509355	0.00052781944540653	0.0247888850125043	0.0214788197845927	1165	tags=30%, list=18%, signal=25%	HLA-DRA/CBR3/TMOD2/PRKAR2B/ZNF385A/PTEN/GATM/KRAS/SPECC1/PRNP/DDHD2/RGS14/GM2A/HMGCR/C12orf57/B2M/CHMP2B/NRGN/NPTN/PPP1R9B/CDK5/ARL6IP5/SLC1A4/SRF/PPP3CB	Tram_vs_control
GO:0001845	GO:0001845	phagolysosome assembly	13	-0.782487110098499	-1.93697028514493	0.000535367880286732	0.0248510299779609	0.0215326665192436	108	tags=31%, list=2%, signal=30%	RAB39A/RAB7B/TMEM175/RAB34	Tram_vs_control
GO:0002706...87	GO:0002706	regulation of lymphocyte mediated immunity	67	0.488279595365332	1.76305080176335	0.000549163458038265	0.0251983968332041	0.0218336494024651	1165	tags=34%, list=18%, signal=29%	HLA-DRA/HLA-DRB3/FCGR2B/HLA-DRB1/DUSP22/CADM1/TRPM4/RIPK3/AHR/IL4I1/KLRK1/SLC15A4/B2M/ARRB2/SASH3/TRAF2/PTPN6/BTK/CRK/FADD/LILRB4/HLA-B/PPP3CB	Tram_vs_control
GO:0071322	GO:0071322	cellular response to carbohydrate stimulus	52	0.522775855853661	1.82713449316483	0.000587536690335209	0.0266528007706608	0.0230938464646112	1220	tags=37%, list=18%, signal=30%	HLA-DRB1/FBP1/MAP2K6/HMGN3/NCF1/PIK3CA/TRPM4/PCK2/MPC2/GPX1/GAS6/MAP2K3/OXCT1/EFNA5/GCLC/SRF/PPP3CB/ENDOG/MAP2K4	Tram_vs_control
GO:0008154	GO:0008154	actin polymerization or depolymerization	102	0.430801102925481	1.70832714054921	0.000656579714086632	0.0294501822318408	0.0255176929685236	1240	tags=39%, list=19%, signal=32%	TMOD2/HCK/BAIAP2/ADD3/PIK3CA/CFL2/CORO7/GAS7/MICAL1/PLEKHG2/WASHC2C/JAK2/PREX1/ARHGAP18/EVL/SSH3/TWF1/ABI1/ACTN2/WASHC3/ARF6/FCHSD1/CAPG/SVIL/PPP1R9B/ARPC5L/CDC42EP3/GRB2/PSTPIP2/COTL1/PYCARD/DBNL/PTK2B/CAPZA2/ARPC1B/CYFIP2/LIMA1/ADD1/BAG4/TMSB10	Tram_vs_control
GO:0044255...90	GO:0044255	cellular lipid metabolic process	383	0.307417010572842	1.4262968223194	0.000690019430353552	0.0306061951774598	0.0265193432531201	1195	tags=27%, list=18%, signal=24%	CD36/ENPP2/GGT5/THEM4/CD74/DBI/ALDH3B1/GSTM2/PRKAR2B/MGLL/SLC44A1/DHRS4/PTEN/ACSS1/PLCB2/SIRT2/SCPEP1/PIK3CA/CBR4/AKR1B1/NAAA/HEXB/ACAA1/DHRS9/PCCB/DGKA/PHYH/PCCA/LSS/PDK1/PCYT2/IVD/GGT1/DDHD2/HSD17B8/ECH1/ECHS1/EHHADH/AIG1/GM2A/IDH1/PCK2/BECN1/NUDT7/UVRAG/ACADS/GALC/CPT2/ACSL3/GPCPD1/ABHD12/APOBR/INPP5B/HMGCR/GPX1/ABCD1/BDH2/ALOX5/SIRT3/PMVK/APOC3/PRKAG2/PLA2G15/ACADSB/CSF1R/CHKA/HADHB/SOAT1/DPM1/FUCA1/CPTP/PDK2/PIK3R4/ABHD11/DECR2/RDH11/NUDT19/ECI1/ACAT2/HDHD5/MSMO1/ACAD10/PLA2G4A/AKT2/ETNK1/AKT1/ACOT1/HADH/DGKZ/ACSL4/MPDU1/PLCG2/TTC7A/PI4KA/MVK/CES1/CRAT/PCYT1B/INPPL1/CRYL1/AACS/CYP1B1/HMGCS1/ACSF3	Tram_vs_control
GO:0003012...91	GO:0003012	muscle system process	118	0.413433838817472	1.6613807571725	0.000699832404272166	0.0307003401962031	0.0266009170669559	1424	tags=37%, list=22%, signal=30%	ANXA6/TMOD2/MYOF/GSTM2/MAP2K6/SMAD3/GATM/ASPH/PIK3CA/ADA/ATP2A1/ATP2B1/RCSD1/DES/TRPM4/GAMT/BECN1/AKAP13/HDAC4/C12orf57/CFLAR/MAP2K3/TWF1/GPD1L/PDLIM5/DOCK5/CD38/G6PD/ATP2B4/RAP1GDS1/YY1/AKAP9/HOMER1/CAMK2D/CAMK2G/SRF/ACTA2/MYH11/MAP2K4/MYH14/TNNC2/AIF1/SRI/UTRN	Tram_vs_control
GO:0042742...92	GO:0042742	defense response to bacterium	67	-0.500677152464774	-1.78682094315301	0.000737762965102	0.0310771810668671	0.0269274382938839	77	tags=15%, list=1%, signal=15%	DEFA4/PPP1R11/AZU1/CTSG/KLK3/BPI/ELANE/MPO/EPX/PRG2	Tram_vs_control
GO:0034284	GO:0034284	response to monosaccharide	65	0.48893918845458	1.75881059231169	0.000717922404927796	0.0310771810668671	0.0269274382938839	1188	tags=31%, list=18%, signal=25%	HLA-DRB1/HMGN3/NCF1/PIK3CA/VAMP2/CDKN1B/TRPM4/RUNX2/PCK2/MPC2/TXN2/GPX1/GAS6/OXCT1/EFNA5/GCLC/PTK2B/SRF/PPP3CB/ENDOG	Tram_vs_control
GO:0002250...94	GO:0002250	adaptive immune response	140	0.395955161285274	1.65194042577089	0.000726831517737308	0.0310771810668671	0.0269274382938839	1165	tags=29%, list=18%, signal=25%	HLA-DRA/HLA-DRB3/FCGR2B/HLA-DRB1/CD74/TFEB/CD86/ADA/CD70/DUSP22/CD84/TRPM4/RIPK3/UNC13D/AHR/IL4I1/KLRK1/JAK2/ERAP2/UNC93B1/SLC15A4/TEC/B2M/ALCAM/BCL10/SASH3/TRAF2/PTPN6/BTK/ADCY7/HLA-C/PLA2G4A/PYCARD/DBNL/PTK2B/RAP1GAP2/CSK/FADD/LILRB4/HLA-B/PPP3CB	Tram_vs_control
GO:0042060...95	GO:0042060	wound healing	160	0.381527987474484	1.61040189939107	0.000739562174687468	0.0310771810668671	0.0269274382938839	1003	tags=29%, list=15%, signal=26%	CD59/CD36/ANXA6/TFPI/PF4V1/MYOF/ANXA2/SMAD3/ITPK1/PTEN/CHMP5/PIK3CA/PAK1/TIMP1/DGKA/CD109/BLOC1S6/CLASP2/RHOC/S100A8/CHMP3/FGFR1OP2/F2/JAK2/PTK2/S100A10/VCL/VKORC1/ILK/GPX1/AHNAK/GAS6/ALOX5/CFLAR/TEC/PLEC/GNAS/CHMP2B/ANXA5/CHMP7/TLN1/PTPN6/BLOC1S4/PLA2G4A/CRK/DGKZ/RAP2B	Tram_vs_control
GO:0002758	GO:0002758	innate immune response-activating signal transduction	14	0.753284119174851	1.93612706184388	0.000768200304654252	0.0316811247974092	0.0274507372862269	390	tags=36%, list=6%, signal=34%	HCK/TYROBP/PAK1/KLRK1/IKBKB	Tram_vs_control
GO:0002862	GO:0002862	negative regulation of inflammatory response to antigenic stimulus	14	0.752618468329602	1.93441617403618	0.000777743043623773	0.0316811247974092	0.0274507372862269	572	tags=36%, list=9%, signal=33%	FCGR2B/HLA-DRB1/HCK/RHBDF2/GPX1	Tram_vs_control
GO:0007600	GO:0007600	sensory perception	78	0.456716020462402	1.71889968127036	0.000774683007647114	0.0316811247974092	0.0274507372862269	1032	tags=31%, list=16%, signal=26%	SERPINB6/CD36/GSDME/MGLL/ATP2B2/MYO6/PLCB2/HEXB/CRYBG3/NIPSNAP1/CDKN1B/FBXO11/CCDC50/GPX1/MAPK3/B2M/GNAS/ARRB2/SCARB2/RDH11/CDK5/TBL1X/TRPV2/ARR3	Tram_vs_control
GO:0048002...99	GO:0048002	antigen processing and presentation of peptide antigen	30	0.609902156434072	1.8926772706956	0.000789301857435592	0.0318272021705342	0.0275773089158251	976	tags=40%, list=15%, signal=34%	HLA-DRA/HLA-DRB3/FCGR2B/HLA-DRB1/CD74/IKBKB/ERAP2/B2M/HLA-C/IFI30/TAPBP/PYCARD	Tram_vs_control
GO:0043372...100	GO:0043372	positive regulation of CD4-positive, alpha-beta T cell differentiation	11	0.786833201490122	1.86715799570942	0.000854085004128654	0.0336381848947176	0.029146470721454	113	tags=27%, list=2%, signal=27%	HLA-DRA/HLA-DRB1/CD86	Tram_vs_control
GO:0090066	GO:0090066	regulation of anatomical structure size	188	0.357984699351983	1.55355071672142	0.000858570842614697	0.0336381848947176	0.029146470721454	1529	tags=41%, list=23%, signal=32%	TMOD2/HCK/BAIAP2/PTEN/SHTN1/SCPEP1/ADD3/PIK3CA/DPYSL2/CFL2/ATP2B1/TRPM4/CHMP3/PLEKHG2/WASHC2C/ARHGAP18/EVL/SSH3/GSK3B/GPX1/IFRD1/TWF1/CDKL5/ACTN2/ARF6/FCHSD1/BLOC1S1/DOCK5/EFNA5/CD38/CAPG/SVIL/ARPC5L/RAP1GDS1/CDC42EP3/SLC12A9/GRB2/BORCS5/LAMTOR5/GDI1/BLOC1S2/COTL1/E2F4/BORCS6/PYCARD/GCLC/CDK5/DBNL/TRPV2/PTK2B/CAPZA2/BORCS8/ARPC1B/RAP1GAP2/RB1CC1/ANO6/SRF/DIP2B/ACTA2/CYFIP2/LIMA1/KXD1/ADD1/BAG4/TMSB10/CCDC51/SNAPIN/ARPC5/HCLS1/BORCS7/FAAH/SOD2/ATG5/RDX/DEPTOR/PICALM/PIK3C2A	Tram_vs_control
GO:0032101...102	GO:0032101	regulation of response to external stimulus	325	0.319526266898747	1.46432870128248	0.00085949270021573	0.0336381848947176	0.029146470721454	710	tags=19%, list=11%, signal=18%	FCGR2B/CD36/HLA-DRB1/SCIMP/FGL2/SAMHD1/TFPI/AHSG/CD180/CCR1/CD74/MGLL/IFI16/ANXA2/SMAD3/NAIP/HCK/TYROBP/PTEN/SIRT2/NCF1/ADA/PAK1/CADM1/CD109/CLASP2/PIK3AP1/RHBDF2/GGT1/TKFC/S100A8/STK39/KLRK1/IKBKB/METTL3/NMI/F2/JAK2/NFKB1/ABHD12/PTK2/SLC15A4/VKORC1/CASP1/GPX1/GAS6/DUSP3/ALOX5/IL16/NLRX1/MAPK3/CASP8/CAMKMT/TRIM38/MAP2K1/STAT2/POLR3G/NENF/CSF1R/ARRB2/CARD16	Tram_vs_control
GO:0051702	GO:0051702	biological process involved in interaction with symbiont	60	-0.516857812210304	-1.79088793092902	0.000882537755227224	0.0338758722967988	0.0293524196728407	507	tags=22%, list=8%, signal=20%	VAPA/SP1/TUSC2/GAPDH/TFAP4/HSPA8/TARDBP/EEF1A1/STOM/CCL5/AZU1/CTSG/ELANE	Tram_vs_control
GO:0006260...104	GO:0006260	DNA replication	188	-0.374479961839806	-1.55600502956895	0.000878139175286428	0.0338758722967988	0.0293524196728407	1744	tags=44%, list=26%, signal=33%	POLD2/POLE3/ORC5/MMS22L/NASP/ZMPSTE24/BRCA1/LIG3/ORC3/WDR18/TOPBP1/SUPT16H/SDE2/POLA1/ING5/RPA2/CDK1/SSBP1/POLD3/THOC1/CCNA2/POLD1/RBBP7/RPA1/PCLAF/RECQL/FAF1/GTPBP4/RRM1/MCM3/PRIM1/PPP2CA/PARP1/MCM2/MCM6/PRIM2/PPP2R1A/MCMBP/MCM5/MCM4/DHX9/POLA2/DACH1/GINS4/WDHD1/ATF1/SET/JADE2/DTL/ORC4/ORC1/TOP1/SETMAR/CDC34/MCM7/UPF1/CDC45/MCRS1/HMGA1/TERF1/RNASEH1/ALYREF/BAZ1A/GINS1/GINS3/MEAF6/GINS2/LIG1/CHAF1B/CHEK1/PCNA/GRWD1/NAP1L1/CHRAC1/PNKP/RBBP4/NFIC/CARM1/RRM2/CHAF1A/DUT/DDX21	Tram_vs_control
GO:0001910...105	GO:0001910	regulation of leukocyte mediated cytotoxicity	31	0.606519496515519	1.89322200189742	0.000926550256870841	0.0352265583374133	0.0305227483115547	1165	tags=42%, list=18%, signal=35%	HLA-DRA/FCGR2B/HLA-DRB1/TYROBP/CADM1/RIPK3/KLRK1/B2M/ARRB2/CRK/FADD/HLA-B/PPP3CB	Tram_vs_control
GO:0046364	GO:0046364	monosaccharide biosynthetic process	43	0.545989021832253	1.81396245448818	0.00096511250462258	0.0363465011174843	0.0314931448876842	855	tags=30%, list=13%, signal=26%	FBP2/FBP1/SLC25A1/AKR1B1/PGM1/PCK2/FAM3C/SLC25A10/ALDOC/PC/PGK2/G6PD/PDK2	Tram_vs_control
GO:0050858...107	GO:0050858	negative regulation of antigen receptor-mediated signaling pathway	21	0.685998607907003	1.95183194223699	0.000988348099440098	0.0367417843000758	0.0318356458206015	1132	tags=52%, list=17%, signal=44%	FCGR2B/LPXN/DUSP22/PRNP/DUSP3/LGALS3/PTPN6/DGKZ/PHPT1/LILRB4/PTPN22	Tram_vs_control
GO:0019319	GO:0019319	hexose biosynthetic process	40	0.551824487339368	1.79774746826128	0.000994016208519084	0.0367417843000758	0.0318356458206015	1480	tags=42%, list=22%, signal=33%	FBP2/FBP1/SLC25A1/AKR1B1/PGM1/PCK2/FAM3C/SLC25A10/ALDOC/PC/PGK2/PDK2/ENO2/ARPP19/USP7/SLC25A12/NLN	Tram_vs_control
GO:0033120...109	GO:0033120	positive regulation of RNA splicing	30	-0.629037782453281	-1.91271008451353	0.00109636892132036	0.0397882248537354	0.0344752945019973	1831	tags=70%, list=28%, signal=51%	PRMT5/SNW1/SNRNP70/NCBP1/TRA2A/DYRK1A/SRSF5/TRA2B/PRDX6/U2AF2/CIRBP/WDR77/PRPF19/CLNS1A/RBMX/HSPA1A/SLC38A2/DAZAP1/RBM3/HSPA8/NCL	Tram_vs_control
GO:0002861	GO:0002861	regulation of inflammatory response to antigenic stimulus	18	0.688696151396534	1.86290033591415	0.00109143835408132	0.0397882248537354	0.0344752945019973	572	tags=28%, list=9%, signal=25%	FCGR2B/HLA-DRB1/HCK/RHBDF2/GPX1	Tram_vs_control
GO:0022617	GO:0022617	extracellular matrix disassembly	15	-0.744199945783701	-1.91150178660681	0.00111784455691098	0.0398431738498986	0.0345229061467057	137	tags=27%, list=2%, signal=26%	TGFB1/CTSG/FSCN1/ELANE	Tram_vs_control
GO:0000380	GO:0000380	alternative mRNA splicing, via spliceosome	54	-0.524103726792957	-1.76830946661247	0.00111741247067392	0.0398431738498986	0.0345229061467057	2086	tags=56%, list=32%, signal=38%	SMU1/CELF1/NCBP2/RBM4/RAVER1/SRSF6/KDM1A/TIA1/NCBP1/DDX17/SRSF2/NSRP1/SFPQ/MAGOH/ZBTB7A/RBM15B/TRA2B/PUF60/DHX9/SFSWAP/HNRNPM/RBMX/HNRNPU/RBM8A/SRSF1/DDX5/HNRNPL/RNPS1/HNRNPA1/PTBP1	Tram_vs_control
GO:0006338	GO:0006338	chromatin remodeling	188	-0.371494232176102	-1.54359899761244	0.00113593509045036	0.0401296715139632	0.0347711477151364	981	tags=24%, list=15%, signal=21%	CFDP1/KDM5D/MYC/SET/KDM5B/PHF2/HELLS/MECP2/SPTY2D1/MLLT3/BEND3/TOP1/MYB/SF3B1/MCRS1/HMGA1/SIRT6/ACTB/HNRNPC/HLTF/BAZ1A/MYBBP1A/LMNB2/SAMD1/ASF1A/ASF1B/SATB1/CHAF1B/CHEK1/GRWD1/BRD4/NAP1L1/CHRAC1/NPM1/HDAC2/RBBP4/MIS18A/OIP5/DNMT1/SMARCA1/CHAF1A/DDX21/TRIM28/CENPV/SMARCD1	Tram_vs_control
GO:0098609...114	GO:0098609	cell-cell adhesion	261	0.326490160487725	1.46184585509487	0.00117062853242957	0.0409925359777092	0.0355187936986479	1146	tags=28%, list=17%, signal=24%	HLA-DRA/HLA-DRB3/FCGR2B/HLA-DRB1/SERPINB8/FGL2/CD74/CD2AP/MILR1/ICAM2/ANXA2/SPINT2/CD86/BAIAP2/PTEN/PIK3CA/ADA/ITGB7/CD70/DUSP22/CADM1/PRNP/CD84/CTNNA1/S100A8/IL4I1/ITGB5/KLRK1/S100A11/METTL3/JAK2/ADAM9/CSTA/PTK2/VCL/STK10/ILK/DUSP3/ALOX5/B2M/ALCAM/GNAS/LGALS3/PLXNB2/LPP/PDLIM5/EMB/EFNA5/NPTN/PDLIM1/BCL10/TLN1/TNIP1/PAK4/SASH3/PTPN6/IRAK1/BLOC1S4/CD99/AKT1/PYCARD/RAP2B/CSK/FADD/SMARCC2/S100A9/NKAP/SRF/LILRB4/PTPN22/ITCH/CYFIP2	Tram_vs_control
GO:0001913...115	GO:0001913	T cell mediated cytotoxicity	22	0.644993043444212	1.84709409134978	0.00124845664623269	0.0418256676728829	0.0362406771366663	296	tags=18%, list=4%, signal=17%	HLA-DRA/FCGR2B/HLA-DRB1/RIPK3	Tram_vs_control
GO:0002088...116	GO:0002088	lens development in camera-type eye	11	0.777830345287903	1.84579418580617	0.00123711249080734	0.0418256676728829	0.0362406771366663	590	tags=55%, list=9%, signal=50%	SMAD3/VIM/CRYBG3/CDKN1B/TDRD7/MEIS1	Tram_vs_control
GO:1904645	GO:1904645	response to amyloid-beta	12	0.755298858452865	1.84365781372592	0.0012268459971077	0.0418256676728829	0.0362406771366663	559	tags=33%, list=8%, signal=31%	FCGR2B/CD36/PRNP/GSK3B	Tram_vs_control
GO:1904646	GO:1904646	cellular response to amyloid-beta	12	0.755298858452865	1.84365781372592	0.0012268459971077	0.0418256676728829	0.0362406771366663	559	tags=33%, list=8%, signal=31%	FCGR2B/CD36/PRNP/GSK3B	Tram_vs_control
GO:0043414...119	GO:0043414	macromolecule methylation	203	-0.368169343154928	-1.54685952873469	0.00121762923850118	0.0418256676728829	0.0362406771366663	1989	tags=39%, list=30%, signal=28%	KAT8/RNF20/RNMT/CTCF/RIF1/NSUN6/MTF2/OGT/TRMT5/GSPT1/PRMT5/SNW1/ICMT/METTL21A/MTO1/KDM1A/ZMPSTE24/NOP2/TGS1/BRCA1/TRMT6/NSD3/SMARCB1/EEF1AKMT1/SNRPG/SMYD3/DNMT3A/TRMT10A/ATF7IP/SMYD5/TRMT11/PARP1/ETF1/GFI1/SNRPF/SNRPD2/FAM98B/RBM15B/DIMT1/BCOR/MYC/PRMT6/WDR77/SPI1/WDR4/GTPBP3/TRDMT1/METTL5/PLD6/HELLS/MECP2/CLNS1A/FBL/EEF1AKMT4/BEND3/SETMAR/MYB/SMYD2/MCRS1/METTL1/FAM98A/TRMT44/CHTOP/DPY30/SNRPD1/COPRS/RAB3D/BRD4/SNRPD3/MIS18A/DNMT1/TET2/KMT2A/CARM1/TRMT1/KMT5B/NSD2/TRIM28/PRMT1/WT1	Tram_vs_control
GO:0010608	GO:0010608	post-transcriptional regulation of gene expression	335	-0.326045223895994	-1.44459124302865	0.00125728459938526	0.0418256676728829	0.0362406771366663	1501	tags=28%, list=23%, signal=23%	NCBP1/RPS6KB2/METAP1/MATR3/DDX1/RPL10/BZW1/FASTKD2/EIF4G3/ATXN2/TCOF1/RPS27L/RC3H1/EIF4H/IGF2BP3/YTHDF2/OGFOD1/CNOT3/PAIP2B/SYNCRIP/PDE12/MAGOH/PRKDC/EIF1B/PUM3/ETF1/PUM2/FTO/FUS/TRAP1/EIF3K/DHX9/CIRBP/EIF2AK2/SERBP1/PASK/ZFP36L2/HNRNPM/TRDMT1/NGDN/METTL5/DDX49/DKC1/DIS3/EIF4A3/PA2G4/NCK2/MAP2K2/CAPRIN1/RACK1/DDX6/LSM1/UPF1/PABPC1/NAT10/PABPC4/EIF2S3/HNRNPC/RPS14/DUS3L/EIF3B/HNRNPU/RPL38/RAN/C1QBP/HNRNPA0/ANGEL2/RBM8A/ABCE1/ELAVL1/XPO5/GAPDH/DDX5/RPS3/KHSRP/NPM1/HNRNPL/ILF3/RBM3/RPL22/MTG2/TARDBP/EIF4A2/CDC37/EIF5A/YBX1/TYMS/HNRNPD/NCL/TGFB1/EEF2/CCL5/LSM14B/CALR/DPH7	Tram_vs_control
GO:0019359...121	GO:0019359	nicotinamide nucleotide biosynthetic process	12	0.753589519755563	1.8394853783908	0.00130292799039517	0.0426335126037501	0.0369406503575369	1145	tags=75%, list=17%, signal=62%	KYNU/QPRT/NMNAT1/NUDT12/NADK/HAAO/PARP10/NAXD/NAPRT	Tram_vs_control
GO:0019363...122	GO:0019363	pyridine nucleotide biosynthetic process	12	0.753589519755563	1.8394853783908	0.00130292799039517	0.0426335126037501	0.0369406503575369	1145	tags=75%, list=17%, signal=62%	KYNU/QPRT/NMNAT1/NUDT12/NADK/HAAO/PARP10/NAXD/NAPRT	Tram_vs_control
GO:0034728	GO:0034728	nucleosome organization	54	-0.520223481844224	-1.75521764237071	0.00132857301510251	0.0431192152543838	0.0373614970271873	1960	tags=48%, list=30%, signal=34%	ACTR6/CHD1/ANP32E/SMARCC1/HP1BP3/POLE3/NASP/SUPT16H/SMARCB1/SMYD3/SMARCA4/HMGB2/MCM2/SET/SPTY2D1/HMGA1/BAZ1A/ASF1A/ASF1B/CHAF1B/GRWD1/NAP1L1/CHRAC1/NPM1/CHAF1A/SMARCD1	Tram_vs_control
GO:0009746	GO:0009746	response to hexose	62	0.488410425896566	1.73776655343862	0.00137813873446963	0.0433191325039587	0.0375347192827783	1188	tags=31%, list=18%, signal=25%	HLA-DRB1/HMGN3/NCF1/PIK3CA/VAMP2/CDKN1B/TRPM4/PCK2/MPC2/TXN2/GPX1/GAS6/OXCT1/EFNA5/GCLC/PTK2B/SRF/PPP3CB/ENDOG	Tram_vs_control
GO:0002768	GO:0002768	immune response-regulating cell surface receptor signaling pathway	117	0.40308848794427	1.62378351810414	0.00137420413866624	0.0433191325039587	0.0375347192827783	1148	tags=27%, list=17%, signal=23%	HLA-DRB3/FCGR2B/HLA-DRB1/LPXN/HCK/FYB1/TYROBP/PIK3CA/ADA/PAK1/DUSP22/PRNP/KLRK1/IKBKB/PTK2/DUSP3/TEC/RBCK1/LGALS3/CD38/BCL10/PTPN6/BTK/IKBKG/DGKZ/PLCG2/CSK/RABGEF1/PHPT1/LILRB4/PTPN22/PRKCH	Tram_vs_control
GO:0006417	GO:0006417	regulation of translation	271	-0.336540713289257	-1.47083520431374	0.00136824513329157	0.0433191325039587	0.0375347192827783	1501	tags=29%, list=23%, signal=23%	NCBP1/RPS6KB2/METAP1/DDX1/RPL10/BZW1/FASTKD2/EIF4G3/ATXN2/TCOF1/RPS27L/RC3H1/EIF4H/IGF2BP3/YTHDF2/OGFOD1/CNOT3/PAIP2B/SYNCRIP/PDE12/MAGOH/PRKDC/EIF1B/PUM3/ETF1/PUM2/FTO/TRAP1/EIF3K/DHX9/CIRBP/EIF2AK2/PASK/ZFP36L2/NGDN/METTL5/DIS3/EIF4A3/PA2G4/NCK2/CAPRIN1/RACK1/DDX6/LSM1/UPF1/PABPC1/NAT10/EIF2S3/RPS14/DUS3L/EIF3B/HNRNPU/RPL38/C1QBP/RBM8A/ABCE1/ELAVL1/GAPDH/RPS3/KHSRP/NPM1/HNRNPL/ILF3/RBM3/RPL22/MTG2/TARDBP/EIF4A2/EIF5A/YBX1/TYMS/HNRNPD/NCL/EEF2/CCL5/LSM14B/CALR/DPH7	Tram_vs_control
